"minitemp.NAME","minitemp.AGE","minitemp.POPEST2010_CIV"
"Illinois",0,162716
"Illinois",1,163053
"Illinois",2,168631
"Illinois",3,169713
"Illinois",4,169648
"Illinois",5,170238
"Illinois",6,172082
"Illinois",7,170751
"Illinois",8,170380
"Illinois",9,173992
"Illinois",10,176368
"Illinois",11,173760
"Illinois",12,174543
"Illinois",13,175452
"Illinois",14,177707
"Illinois",15,182475
"Illinois",16,184717
"Illinois",17,185969
"Illinois",18,183514
"Illinois",19,178839
"Illinois",20,177937
"Illinois",21,170644
"Illinois",22,170099
"Illinois",23,171400
"Illinois",24,176595
"Illinois",25,181413
"Illinois",26,177448
"Illinois",27,181455
"Illinois",28,182362
"Illinois",29,181258
"Illinois",30,186087
"Illinois",31,174586
"Illinois",32,170674
"Illinois",33,169737
"Illinois",34,164384
"Illinois",35,168680
"Illinois",36,162702
"Illinois",37,164582
"Illinois",38,172012
"Illinois",39,180804
"Illinois",40,182618
"Illinois",41,172397
"Illinois",42,169849
"Illinois",43,170185
"Illinois",44,173142
"Illinois",45,183236
"Illinois",46,186129
"Illinois",47,186618
"Illinois",48,187572
"Illinois",49,191576
"Illinois",50,194058
"Illinois",51,188150
"Illinois",52,187314
"Illinois",53,184377
"Illinois",54,178177
"Illinois",55,176652
"Illinois",56,167824
"Illinois",57,161680
"Illinois",58,155414
"Illinois",59,151136
"Illinois",60,145961
"Illinois",61,139871
"Illinois",62,138337
"Illinois",63,143131
"Illinois",64,105549
"Illinois",65,102816
"Illinois",66,101410
"Illinois",67,105909
"Illinois",68,93329
"Illinois",69,84364
"Illinois",70,79662
"Illinois",71,76735
"Illinois",72,74404
"Illinois",73,68707
"Illinois",74,66491
"Illinois",75,63950
"Illinois",76,58048
"Illinois",77,57000
"Illinois",78,55183
"Illinois",79,54694
"Illinois",80,53543
"Illinois",81,49320
"Illinois",82,47321
"Illinois",83,44856
"Illinois",84,40793
"Illinois",85,237005
"Illinois",999,12805900
